chamber,year,sex,legislators
deputies,1990,F,17
deputies,1994,F,14
deputies,2001,F,23
deputies,2003,F,49
deputies,2008,F,56
deputies,2011,F,56
deputies,2013,F,64
deputies,2018,F,61
deputies,2021,F,61
deputies,2023,F,61
deputies,1990,M,83
deputies,1994,M,86
deputies,2001,M,77
deputies,2003,M,51
deputies,2008,M,44
deputies,2011,M,44
deputies,2013,M,36
deputies,2018,M,39
deputies,2021,M,39
deputies,2023,M,39
senators,1990,F,
senators,1994,F,
senators,2001,F,
senators,2003,F,36
senators,2008,F,38
senators,2011,F,38
senators,2013,F,38
senators,2018,F,38
senators,2021,F,38
senators,2023,F,38
senators,1990,M,
senators,1994,M,
senators,2001,M,
senators,2003,M,66
senators,2008,M,62
senators,2011,M,62
senators,2013,M,62
senators,2018,M,62
senators,2021,M,62
senators,2023,M,62
