age_and_district,both_sexes,district,gender,population
0-4,44330,Nyarugenge,female,22084
0-4,44330,Nyarugenge,male,-22246
5-9,39504,Nyarugenge,female,19707
5-9,39504,Nyarugenge,male,-19797
10-14,32853,Nyarugenge,female,16615
10-14,32853,Nyarugenge,male,-16238
15-19,37586,Nyarugenge,female,19912
15-19,37586,Nyarugenge,male,-17674
20-24,43502,Nyarugenge,female,21012
20-24,43502,Nyarugenge,male,-22490
25-29,42823,Nyarugenge,female,19331
25-29,42823,Nyarugenge,male,-23492
30-34,38268,Nyarugenge,female,16927
30-34,38268,Nyarugenge,male,-21341
35-39,30295,Nyarugenge,female,13066
35-39,30295,Nyarugenge,male,-17229
40-44,23606,Nyarugenge,female,9844
40-44,23606,Nyarugenge,male,-13762
45-49,13501,Nyarugenge,female,6085
45-49,13501,Nyarugenge,male,-7416
50-54,9419,Nyarugenge,female,4357
50-54,9419,Nyarugenge,male,-5062
55-59,6119,Nyarugenge,female,2869
55-59,6119,Nyarugenge,male,-3250
60-64,4893,Nyarugenge,female,2383
60-64,4893,Nyarugenge,male,-2510
65-69,3105,Nyarugenge,female,1622
65-69,3105,Nyarugenge,male,-1483
70-74,2046,Nyarugenge,female,1140
70-74,2046,Nyarugenge,male,-906
75-79,1035,Nyarugenge,female,611
75-79,1035,Nyarugenge,male,-424
80-84,739,Nyarugenge,female,497
80-84,739,Nyarugenge,male,-242
85+,695,Nyarugenge,female,477
85+,695,Nyarugenge,male,-218
0-4,116376,Gasabo,female,57764
0-4,116376,Gasabo,male,-58612
5-9,100058,Gasabo,female,49694
5-9,100058,Gasabo,male,-50364
10-14,80965,Gasabo,female,40936
10-14,80965,Gasabo,male,-40029
15-19,85508,Gasabo,female,46495
15-19,85508,Gasabo,male,-39013
20-24,93980,Gasabo,female,48799
20-24,93980,Gasabo,male,-45181
25-29,97219,Gasabo,female,47936
25-29,97219,Gasabo,male,-49283
30-34,92238,Gasabo,female,43782
30-34,92238,Gasabo,male,-48456
35-39,69963,Gasabo,female,31486
35-39,69963,Gasabo,male,-38477
40-44,51596,Gasabo,female,22396
40-44,51596,Gasabo,male,-29200
45-49,29242,Gasabo,female,13776
45-49,29242,Gasabo,male,-15466
50-54,20532,Gasabo,female,9758
50-54,20532,Gasabo,male,-10774
55-59,13881,Gasabo,female,6748
55-59,13881,Gasabo,male,-7133
60-64,10790,Gasabo,female,5556
60-64,10790,Gasabo,male,-5234
65-69,6727,Gasabo,female,3698
65-69,6727,Gasabo,male,-3029
70-74,4400,Gasabo,female,2612
70-74,4400,Gasabo,male,-1788
75-79,2361,Gasabo,female,1548
75-79,2361,Gasabo,male,-813
80-84,1781,Gasabo,female,1227
80-84,1781,Gasabo,male,-554
85+,1888,Gasabo,female,1307
85+,1888,Gasabo,male,-581
0-4,58359,Kicukiro,female,29066
0-4,58359,Kicukiro,male,-29293
5-9,49856,Kicukiro,female,24556
5-9,49856,Kicukiro,male,-25300
10-14,40587,Kicukiro,female,20577
10-14,40587,Kicukiro,male,-20010
15-19,49712,Kicukiro,female,27545
15-19,49712,Kicukiro,male,-22167
20-24,62585,Kicukiro,female,32221
20-24,62585,Kicukiro,male,-30364
25-29,59412,Kicukiro,female,28961
25-29,59412,Kicukiro,male,-30451
30-34,51199,Kicukiro,female,23869
